N!DIST!MUTUAL_INFO
20!Uniform(lower: -8646.451875681589,upper: -5783.105186544296)!0.00548334
20!Uniform(lower: -8646.451875681589,upper: -5783.105186544296)!0.00548334
20!Uniform(lower: -8581.153818815896,upper: -2506.3970409814015)!0.00092818
20!Beta(alpha: 634.8842655351974,beta: 6877.510876037246)!7.45785645
20!Cauchy(alpha: 67.16394080501857,beta: 7414.71994817224)!0.00098516
20!Beta(alpha: 7472.297011994995,beta: 4407.69447460149)!7.14573935
20!Beta(alpha: 7472.297011994995,beta: 4407.69447460149)!7.14573935
20!Beta(alpha: 7472.297011994995,beta: 4407.69447460149)!7.14573935
20!Exponential(lam:9007.10504601217)!9.21305974
20!Beta(alpha: 4226.38824498897,beta: 9224.444406291235)!7.25311726
20!Beta(alpha: 4226.38824498897,beta: 9224.444406291235)!7.25311726
20!Cauchy(alpha: 1441.953419076818,beta: 1316.091558129556)!0.00309068
20!Cauchy(alpha: 1441.953419076818,beta: 1316.091558129556)!0.00309068
20!Cauchy(alpha: 1441.953419076818,beta: 1316.091558129556)!0.00309068
20!Beta(alpha: 8157.490291003324,beta: 5413.916118890291)!7.19864008
20!Normal(mu: 7238.614145968711,sigma: 7470.7154164962685)!0.00548608
20!Normal(mu: 29.18238329451928,sigma: 9375.134248778231)!0.00471199
20!Beta(alpha: 1425.1277943628902,beta: 7416.361067071986)!7.27119671
20!Uniform(lower: -577.9462241688461,upper: 7138.779501854398)!0.00088283
20!Uniform(lower: -577.9462241688461,upper: 7138.779501854398)!0.00088283
20!Normal(mu: -4263.229675074317,sigma: 9089.497650503992)!0.0135631
20!Normal(mu: -4263.229675074317,sigma: 9089.497650503992)!0.0135631
20!Beta(alpha: 5.368815072867722,beta: 0.18087867150053427)!4.52819326
20!Beta(alpha: 5.368815072867722,beta: 5.368815072867722)!3.63773261
20!Exponential(lam:4774.680762678795)!9.10695096
20!Beta(alpha: 5192.511576756186,beta: 4331.3885982145175)!7.00793936
20!Uniform(lower: -6031.492831031661,upper: 9270.65635614669)!0.00104105
20!Uniform(lower: -7131.2183898416,upper: 9270.65635614669)!0.00104395
20!Cauchy(alpha: 5836.900555874447,beta: 9248.369120659072)!0.00388636
20!Uniform(lower: -649.1712155601183,upper: 652.856321835318)!0.00138484
20!Uniform(lower: -649.1712155601183,upper: 652.856321835318)!0.00138484
20!Cauchy(alpha: 2334.592692636117,beta: 5460.602758987096)!0
20!Uniform(lower: -9856.334268192883,upper: 2605.944688083593)!0.00102013
20!Cauchy(alpha: 3722.3621188178126,beta: 3953.9348401491416)!0.06847547
20!Exponential(lam:5603.044587429301)!9.13956507
20!Uniform(lower: -4681.091794486062,upper: 9423.3888632158)!0.0010214
20!Beta(alpha: 3286.9708027116076,beta: 6137.345974586633)!7.05260762
20!Uniform(lower: -4681.091794486062,upper: 2325.5752825975032)!0.00097249
20!Uniform(lower: -4681.091794486062,upper: 2325.5752825975032)!0.00097249
20!Exponential(lam:7342.70837743816)!9.1861234
20!Exponential(lam:7342.70837743816)!9.1861234
20!Exponential(lam:7342.70837743816)!9.1861234
20!Exponential(lam:7342.70837743816)!9.1861234
20!Exponential(lam:9726.544624168828)!9.22086927
